date,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DIFF,PRECTOTCORR,SZA,RH2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS10M,PS,T2M,ALLSKY_SRF_ALB
2024-07-20 06:00:00,2024,7,20,6,0.0,0.09,90.0,62.52,0.0,0.0,1.31,87.74,21.75,-999.0
2024-07-20 07:00:00,2024,7,20,7,0.0,0.11,90.0,65.44,0.0,0.0,1.36,87.76,20.9,-999.0
2024-07-20 08:00:00,2024,7,20,8,0.0,0.12,90.0,68.08,0.0,0.0,1.42,87.79,20.18,-999.0
2024-07-20 09:00:00,2024,7,20,9,0.0,0.1,90.0,69.7,0.0,0.0,1.38,87.81,19.38,-999.0
2024-07-20 10:00:00,2024,7,20,10,0.0,0.09,90.0,72.24,0.0,0.0,1.89,87.83,18.64,-999.0
2024-07-20 11:00:00,2024,7,20,11,0.0,0.19,90.0,75.34,0.0,0.0,2.25,87.87,17.66,-999.0
2024-07-20 12:00:00,2024,7,20,12,27.72,0.48,85.45,76.14,36.28,34.28,2.51,87.92,17.4,0.18
2024-07-20 13:00:00,2024,7,20,13,70.01,0.74,76.86,76.01,158.5,157.3,3.32,87.96,18.05,0.17
2024-07-20 14:00:00,2024,7,20,14,102.81,0.36,67.74,68.99,313.38,311.4,3.22,87.99,20.1,0.16
2024-07-20 15:00:00,2024,7,20,15,116.97,0.37,58.46,60.78,475.65,473.27,2.86,88.01,22.28,0.16
2024-07-20 16:00:00,2024,7,20,16,119.16,0.47,49.42,54.21,624.38,621.88,2.21,88.02,24.03,0.16
2024-07-20 17:00:00,2024,7,20,17,127.12,0.34,41.22,47.9,745.2,742.8,1.5,88.01,25.9,0.16
2024-07-20 18:00:00,2024,7,20,18,120.64,0.25,34.78,42.99,829.33,827.25,1.33,88.0,27.38,0.16
2024-07-20 19:00:00,2024,7,20,19,249.76,0.26,31.45,39.22,810.97,797.28,1.64,88.0,28.52,0.15
2024-07-20 20:00:00,2024,7,20,20,228.04,0.29,32.28,36.52,816.53,808.65,1.88,87.97,29.3,0.14
2024-07-20 21:00:00,2024,7,20,21,229.65,0.22,36.99,34.64,764.05,734.08,2.04,87.94,29.78,0.16
2024-07-20 22:00:00,2024,7,20,22,196.97,0.18,44.26,33.55,678.17,665.0,2.11,87.91,29.91,0.17
2024-07-20 23:00:00,2024,7,20,23,161.65,0.09,52.88,33.54,549.22,536.22,2.25,87.88,29.65,0.17
2024-07-21 00:00:00,2024,7,21,0,117.09,0.15,62.09,36.43,400.73,395.75,2.36,87.86,28.81,0.14
2024-07-21 01:00:00,2024,7,21,1,93.73,0.18,71.36,47.84,241.43,240.48,2.0,87.86,26.91,0.14
2024-07-21 02:00:00,2024,7,21,2,60.04,0.19,80.34,65.1,93.97,90.55,1.94,87.88,23.44,0.18
2024-07-21 03:00:00,2024,7,21,3,10.46,0.19,88.25,70.16,10.23,9.55,2.32,87.91,20.6,0.16
2024-07-21 04:00:00,2024,7,21,4,0.0,0.13,90.0,73.24,0.0,0.0,2.4,87.94,19.28,-999.0
